"test url","fcp","fid","lcp","cls","date","device"
"https://www.99acres.com","1825","4","2602","0.1","2022-02-24 20:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2010","6","2572","0.05","2022-02-24 22:01","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2285","7","2637","0.21","2022-02-24 22:01","desktop"
"https://www.99acres.com/commercial-property-in-noida-ffid","1824","no data","2632","0.06","2022-02-24 22:01","desktop"
"https://www.99acres.com/property-in-noida-ffid","2010","6","2572","0.05","2022-02-24 22:01","desktop"
"https://www.99acres.com","1825","4","2602","0.1","2022-02-24 22:01","desktop"
"https://www.99acres.com/property-in-noida-ffid","2010","6","2572","0.05","2022-02-24 23:02","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2285","7","2637","0.21","2022-02-24 23:02","desktop"
"https://www.99acres.com/commercial-property-in-noida-ffid","1824","no data","2632","0.06","2022-02-24 23:02","desktop"
"https://www.99acres.com","1825","4","2602","0.1","2022-02-24 23:02","desktop"
"https://www.99acres.com","1825","4","2602","0.1","2022-02-25 08:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2010","6","2572","0.05","2022-02-25 08:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2285","7","2637","0.21","2022-02-25 08:00","desktop"
"https://www.99acres.com/commercial-property-in-noida-ffid","1824","no data","2632","0.06","2022-02-25 08:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2010","6","2572","0.05","2022-02-25 08:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-25 10:00","desktop"
"https://www.99acres.com/property-for-rent-in-noida-ffid","2285","6","2661","0.2","2022-02-25 10:00","desktop"
"https://www.99acres.com/commercial-property-in-noida-ffid","1785","no data","2501","0.06","2022-02-25 10:00","desktop"
"https://www.99acres.com/property-in-noida-ffid","2079","6","2698","0.05","2022-02-25 10:00","desktop"
"https://www.99acres.com","1827","4","2602","0.09","2022-02-25 10:00","desktop"
